Hashes	sum.taxonomy
forward_vp2_Metazoa_16s_403	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_411	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_412	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_420	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_421	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_422	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_462	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_463	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_464	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_473	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_474	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_480	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_490	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_491	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_496	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_498	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_516	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_527	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_535	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_545	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_551	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_561	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_562	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_563	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_584	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_592	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_593	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_594	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_609	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_637	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_655	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_657	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_658	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_667	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_674	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_681	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_693	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
forward_vp2_Metazoa_16s_697	Eukaryota;Chordata;Amphibia;Anura;Pelobatidae;Spea;
